Recording,Event name,Unit number,Global Pre-event M,Global Pre-event SD,Event M,Event Z-Score,sig,Event windows
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,6,3.1092436974789917,2.740269004664043,2.111111111111111,-0.36424620527000107,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,60,10.53781512605042,13.691554113754043,6.0,-0.3314317051482048,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,66,38.18487394957983,57.15333443246174,48.666666666666664,0.18339774610129173,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,68,48.63025210084034,19.325111258322142,41.22222222222222,-0.38333698469280125,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,73,57.36134453781513,49.52339759261866,18.22222222222222,-0.7903157743245487,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,79,29.907563025210084,17.592966316373516,23.88888888888889,-0.3421068413414572,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,86,14.109243697478991,11.16401023996711,16.77777777777778,0.23903006383364345,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,9,15.092436974789916,14.968870553845822,11.88888888888889,-0.2140140149102944,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,95,0.17647058823529413,0.544600058689736,0.5555555555555556,0.6960795564956592,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,98,12.865546218487395,15.0650825452967,24.77777777777778,0.7907179747255595,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,13,80.50420168067227,33.593935514528255,35.0,-1.3545361977906167,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,22,269.43697478991595,34.437042459669975,337.0,1.961928794820539,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,23,243.72268907563026,20.243029454811552,267.0,1.1498926569430532,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,39,59.97478991596638,23.63676888754594,30.0,-1.268142446142878,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,45,6.025210084033613,4.600807720232804,16.0,2.168051899256867,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,50,7.285714285714286,9.963077093050362,1.0,-0.630900898086879,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,54,54.588235294117645,26.64784720669494,9.0,-1.7107661621034875,decrease,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,58,105.0,47.91817254971439,110.0,0.10434454683789483,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,6,3.1092436974789917,2.740269004664043,8.0,1.784772332277143,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,60,10.53781512605042,13.691554113754043,12.0,0.10679466054775488,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,66,38.18487394957983,57.15333443246174,13.0,-0.4406544989836222,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,68,48.63025210084034,19.325111258322142,6.0,-2.2059511860498136,decrease,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,73,57.36134453781513,49.52339759261866,22.0,-0.714033088535219,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,79,29.907563025210084,17.592966316373516,42.0,0.6873449739704021,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,86,14.109243697478991,11.16401023996711,31.0,1.5129649596748103,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,9,15.092436974789916,14.968870553845822,31.0,1.062709639180031,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,95,0.17647058823529413,0.544600058689736,0.0,-0.3240370349203931,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_lose,98,12.865546218487395,15.0650825452967,40.0,1.8011486959946295,increase,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,13,80.50420168067227,33.593935514528255,74.5,-0.17872873745547468,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,22,269.43697478991595,34.437042459669975,292.5,0.6697156190777328,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,23,243.72268907563026,20.243029454811552,237.0,-0.3320989622940229,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,39,59.97478991596638,23.63676888754594,65.5,0.23375488038658337,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,45,6.025210084033613,4.600807720232804,6.0,-0.0054794908995539834,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,50,7.285714285714286,9.963077093050362,15.0,0.7742874658338971,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,54,54.588235294117645,26.64784720669494,62.5,0.2969007081327989,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,58,105.0,47.91817254971439,58.0,-0.9808387402762114,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,6,3.1092436974789917,2.740269004664043,2.5,-0.22232988675273688,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,60,10.53781512605042,13.691554113754043,1.0,-0.6966203432281711,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,66,38.18487394957983,57.15333443246174,20.0,-0.3181769555557419,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,68,48.63025210084034,19.325111258322142,46.0,-0.13610540532891624,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,73,57.36134453781513,49.52339759261866,3.5,-1.087593888062378,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,79,29.907563025210084,17.592966316373516,54.5,1.3978561961948448,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,86,14.109243697478991,11.16401023996711,18.0,0.34850884394499365,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,9,15.092436974789916,14.968870553845822,7.0,-0.5406177403752614,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,95,0.17647058823529413,0.544600058689736,0.0,-0.3240370349203931,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_tie,98,12.865546218487395,15.0650825452967,17.5,0.30762883426479964,not sig,2
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,13,80.50420168067227,33.593935514528255,65.125,-0.4577969638008407,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,22,269.43697478991595,34.437042459669975,281.875,0.3611815743076808,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,23,243.72268907563026,20.243029454811552,255.5,0.5817958695688408,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,39,59.97478991596638,23.63676888754594,59.25,-0.03066366301649081,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,45,6.025210084033613,4.600807720232804,8.125,0.45639592950868546,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,50,7.285714285714286,9.963077093050362,6.375,-0.09140893693872394,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,54,54.588235294117645,26.64784720669494,46.875,-0.2894505974268642,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,58,105.0,47.91817254971439,80.375,-0.5138968931766321,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,6,3.1092436974789917,2.740269004664043,1.375,-0.632873522463394,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,60,10.53781512605042,13.691554113754043,5.25,-0.38621000086019974,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,66,38.18487394957983,57.15333443246174,53.125,0.261404276736906,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,68,48.63025210084034,19.325111258322142,45.625,-0.15551020952317465,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,73,57.36134453781513,49.52339759261866,17.75,-0.799851110048215,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,79,29.907563025210084,17.592966316373516,21.625,-0.47078831825543965,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,86,14.109243697478991,11.16401023996711,15.0,0.0797882018534975,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,9,15.092436974789916,14.968870553845822,9.5,-0.3736044716715851,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,95,0.17647058823529413,0.544600058689736,0.625,0.8235941304226657,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp_win,98,12.865546218487395,15.0650825452967,22.875,0.6644141345669257,not sig,8
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,13,80.50420168067227,33.593935514528255,35.0,-1.3545361977906167,not sig,1
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,lose,22,269.43697478991595,34.437042459669975,337.0,1.961928794820539,increase,1
